aartist,track_name,genius/lyrics,genius/lyrics_annotation,musicbrainz/work_meta,musicbrainz/recording_meta,musicbrainz/release_meta,musicbrainz/artist_meta,secondhandsong/artist_meta,sonar_id,chord_annotation_id
Sonny Rollins,Pent-Up House,NF,NF,work_31f7ee8c-6750-4561-92bf-5361abfe313a.json,recording_2723facd-9233-4286-809b-62df780ca474.json,release_8c1db79f-518d-46c1-9804-b3bd93601959.json,artist_2723facd-9233-4286-809b-62df780ca474.json,shs_6614.json,jaah_53,Pent-Up House
Louis Armstrong & His Orchestra,Sweethearts on Parade,TimeoutError,annotation_louisarmstrong&hisorchestra_sweetheartsonparade.json,work_316f85d4-5ded-3133-bad8-5849fdd0f4c3.json,recording_79e051ea-feea-492f-954f-dd7f4bb1c832.json,release_a90eeed6-dc07-4173-938c-49e63142f299.json,artist_79e051ea-feea-492f-954f-dd7f4bb1c832.json,NF,jaah_52,Sweethearts on Parade
Duke Ellington & His Orchestra,Blue Serge,NF,NF,work_9f655d03-d286-3830-a6e6-4ebaf57a2495.json,recording_ab0af81c-1658-4212-8da3-3135c7a06396.json,release_bb8fe301-fe37-3341-b1be-2f8df34a5522.json,artist_ab0af81c-1658-4212-8da3-3135c7a06396.json,NF,N/A,N/A
Tadd Dameron Sextet,Lady Bird,NF,NF,work_b3ee84fd-9741-4532-a6a9-952e60d9c0d8.json,recording_ce2d8d18-590f-468c-a020-b334ae916caa.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_ce2d8d18-590f-468c-a020-b334ae916caa.json,NF,jaah_51,Lady Bird
The Modern Jazz Quartet,Django,NF,NF,work_f50915eb-71d9-3b93-9338-3dd71d37cb9e.json,recording_c3141ac9-74aa-439e-b9bc-16aae9c4d683.json,release_00587597-326a-4994-a87f-ad8969b4e52a.json,artist_c3141ac9-74aa-439e-b9bc-16aae9c4d683.json,NF,N/A,N/A
Fats Waller and His Rhythm,Dinah,lyrics_Dinah_Fats Waller and His Rhythm.json,annotation_fatswallerandhisrhythm_dinah.json,work_7f3a3551-4c29-30a4-af3c-bd379042c6d7.json,recording_d9747359-db30-43f9-82cd-0d9566114658.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_d9747359-db30-43f9-82cd-0d9566114658.json,NF,jaah_56,Dinah
King Oliver's Creole Jazz Band,Dippermouth Blues,NF,NF,work_b555862e-abbc-3022-8699-4aeee2688891.json,recording_8fecd84b-8d9e-43c7-865e-4e3e93292260.json,release_ac16de88-7cfa-4b0b-b171-1ff03936137e.json,artist_8fecd84b-8d9e-43c7-865e-4e3e93292260.json,NF,jaah_55,Dippermouth Blues
Miles Davis; Gil Evans,Summertime,NF,NF,work_986359d8-34ff-3fe2-84fe-155b5f167975.json,recording_9708585c-b508-4357-b3f4-4a5c0b0af44f.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_9708585c-b508-4357-b3f4-4a5c0b0af44f.json,NF,N/A,N/A
Sonny Rollins,Blue 7,NF,NF,work_6a36f73c-3fc5-35ff-8275-4514a6887091.json,recording_27c5ca66-7079-49b6-a7f1-961cecbea199.json,release_7bba64dc-5e9d-47bd-bdf2-19d31a4a5a08.json,artist_27c5ca66-7079-49b6-a7f1-961cecbea199.json,shs_6614.json,jaah_46,Blue 7
Fletcher Henderson and His Orchestra,Wrappin' It Up,NF,NF,work_23ef967f-c4f6-3d4f-96a9-4bfc72e1102b.json,recording_6af10606-1aef-42d6-8f26-9ff66395eae1.json,release_6ef4a4d8-8f9b-440c-9960-3093cfcadf50.json,artist_6af10606-1aef-42d6-8f26-9ff66395eae1.json,NF,jaah_47,Wrappin' It Up
Ella Fitzgerald,You'd Be So Nice to Come Home To,lyrics_You'd Be So Nice to Come Home To_Ella Fitzgerald.json,annotation_ellafitzgerald_you'dbesonicetocomehometo.json,work_dca3d1eb-0365-37fd-97de-6126d682fab2.json,recording_de6cd145-7a74-4e4b-86ac-4094433b849f.json,release_a90eeed6-dc07-4173-938c-49e63142f299.json,artist_de6cd145-7a74-4e4b-86ac-4094433b849f.json,shs_816.json,jaah_50,You'd Be So Nice to Come Home To
Ella Fitzgerald; Duke Ellington Orchestra,Cotton Tail,NF,NF,work_ad318e8e-09e5-3fb7-930d-9f8a3de8e65a.json,recording_96cd1df4-1a44-4996-98a5-8449796b2598.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_96cd1df4-1a44-4996-98a5-8449796b2598.json,NF,jaah_49,Cotton Tail
Dizzy Gillespie & His All Stars,Shaw 'Nuff,NF,NF,work_73b71d3b-388a-3b5b-8f19-33f96ee15f8d.json,recording_cabedd06-3ea9-462f-9af5-b546e083a361.json,release_33f1db3f-fd5d-4992-a16b-bbd43c195b88.json,artist_cabedd06-3ea9-462f-9af5-b546e083a361.json,NF,N/A,N/A
John Coltrane,Giant Steps,NF,NF,work_c53130a9-3173-37d2-bedd-f7b6a2e17b89.json,recording_cc14d998-bf97-4c94-a835-d4ed9717bc7a.json,release_eadadd16-3098-4703-92cb-31c441352b66.json,artist_cc14d998-bf97-4c94-a835-d4ed9717bc7a.json,shs_2281.json,N/A,N/A
Lionel Hampton and His Orchestra,When Lights Are Low,NF,NF,work_0dcc0f27-4240-3e9a-a8dd-9caf2dddd4cd.json,recording_be26b916-d04f-44fd-8ec3-47586711b4dd.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_be26b916-d04f-44fd-8ec3-47586711b4dd.json,NF,jaah_65,When Lights Are Low
Billie Holiday; Teddy Wilson and His Orchestra,Mean to Me,NF,NF,work_86954cd6-9019-3bb4-bcaf-c45bdf15b57a.json,recording_0e9806c6-1342-432b-87b7-11e5e2217311.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_0e9806c6-1342-432b-87b7-11e5e2217311.json,NF,jaah_64,Mean to Me
Duke Ellington & His Orchestra,The New East St. Louis Toodle-Oo,NF,NF,work_60dc20df-e9e8-3f95-801a-058c41c4dd3f.json,recording_8d38e1d4-01df-4429-8fb0-bb1f9d63ad4d.json,release_a90eeed6-dc07-4173-938c-49e63142f299.json,artist_8d38e1d4-01df-4429-8fb0-bb1f9d63ad4d.json,NF,jaah_63,The New East St. Louis Toodle-Oo
Louis Armstrong and His Hot Five,West End Blues,lyrics_West End Blues_Louis Armstrong and His Hot Five.json,annotation_louisarmstrongandhishotfive_westendblues.json,work_a97c426c-c138-4531-9d4a-e2eb0bca7961.json,recording_47642404-0c14-4e75-a51b-abb862587fe9.json,release_ef49a738-323e-410d-9c4b-32f326e09661.json,artist_47642404-0c14-4e75-a51b-abb862587fe9.json,NF,jaah_69,West End Blues
Bix Beiderbecke; Paul Whiteman and His Orchestra,From Monday On,NF,NF,work_42f22d70-f906-4fdf-9174-fe63df89ad59.json,recording_e05f0970-2e3e-46ad-a87b-6b6055e6c099.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_e05f0970-2e3e-46ad-a87b-6b6055e6c099.json,NF,N/A,N/A
Count Basie and His Orchestra,One O'Clock Jump,lyrics_One O'Clock Jump_Count Basie and His Orchestra.json,annotation_countbasieandhisorchestra_oneo'clockjump.json,work_54642bfe-8ec3-348c-90a1-05c0c3765d9b.json,recording_f712230f-9df9-4a88-9ee6-02cfc2eb4eb6.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_f712230f-9df9-4a88-9ee6-02cfc2eb4eb6.json,NF,jaah_67,One O'Clock Jump
Art Blakey & The Jazz Messengers,One by One,NF,NF,work_0941488e-dcd1-3ec5-b5a8-e9e455340307.json,recording_3bdc8595-62e3-480f-8096-eb862cd6ba95.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_3bdc8595-62e3-480f-8096-eb862cd6ba95.json,NF,jaah_68,One by One
Frankie Trumbauer and His Orchestra,Riverboat Shuffle,NF,NF,work_a7c44ae4-f9b9-449e-82f1-9eec98f3101c.json,recording_5f08d6f0-73a2-41db-a06b-ab5db714bc3e.json,release_a90eeed6-dc07-4173-938c-49e63142f299.json,artist_5f08d6f0-73a2-41db-a06b-ab5db714bc3e.json,NF,jaah_66,Riverboat Shuffle
Charlie Parker,Crazeology (take 4),NF,NF,work_fc216b47-1dbb-4b22-b7df-d13eb0016f33.json,recording_776cdc89-829b-475a-8b9e-eeda8baca6e5.json,release_a90eeed6-dc07-4173-938c-49e63142f299.json,artist_776cdc89-829b-475a-8b9e-eeda8baca6e5.json,NF,jaah_59,Crazeology (take 4)
Louis Armstrong; Ella Fitzgerald,Stompin' at the Savoy,NF,NF,work_98d6dbeb-8672-39ef-a10f-eae069a2075c.json,recording_5e6eb87d-7f9b-4ccd-b671-b0cdbc061a20.json,release_8af5aced-6246-4730-8556-0757d1f3f157.json,artist_5e6eb87d-7f9b-4ccd-b671-b0cdbc061a20.json,shs_816.json,jaah_57,Stompin' at the Savoy
Chick Webb and His Orchestra,Harlem Congo,NF,NF,work_bcda0650-8e8a-4858-92ee-b20f4c8836a5.json,recording_461c9fea-67b6-43a2-be45-dc291a4a1179.json,release_04a66bb5-e693-48a2-b5ec-95c0e60965b4.json,artist_461c9fea-67b6-43a2-be45-dc291a4a1179.json,NF,jaah_58,Harlem Congo
Bud Powell,Indiana,lyrics_Indiana_Bud Powell.json,annotation_budpowell_indiana.json,work_291f1eeb-030e-35f4-bd70-9206eb9dc752.json,recording_b890d832-b54d-4b61-b30f-36f53df79b3b.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_b890d832-b54d-4b61-b30f-36f53df79b3b.json,NF,jaah_62,Indiana
Lennie Tristano,Subconscious Lee,NF,NF,work_78bcb900-d985-4533-b6df-61004ee8c995.json,recording_aa95b666-fbf4-4854-bcd5-b1e9900cba84.json,release_a90eeed6-dc07-4173-938c-49e63142f299.json,artist_aa95b666-fbf4-4854-bcd5-b1e9900cba84.json,NF,jaah_61,Subconscious Lee
Louis Armstrong & His Orchestra,I Gotta Right to Sing the Blues,lyrics_I Gotta Right to Sing the Blues_Louis Armstrong & His Orchestra.json,annotation_louisarmstrong&hisorchestra_igottarighttosingtheblues.json,work_caa62b20-cc23-3e34-b04f-46a535d855fd.json,recording_c24c608d-d030-4c46-ab95-e0fa2d45b7c6.json,release_2ac6c917-df01-4c61-b523-ef4bafb3dbcb.json,artist_c24c608d-d030-4c46-ab95-e0fa2d45b7c6.json,NF,jaah_60,I Gotta Right to Sing the Blues
The Clifford Brown–Max Roach Quintet,Daahoud,NF,NF,work_0ff5e7aa-0472-3391-a5d0-828b3a0204cf.json,recording_38fcd5b0-468a-4314-a662-ee326d657e84.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_38fcd5b0-468a-4314-a662-ee326d657e84.json,NF,jaah_33,Daahoud
Dizzy Gillespie and His Orchestra,Manteca,NF,NF,work_a04d6636-5456-3cc9-896a-42d55023dea7.json,recording_2394cfd9-ea6a-47cc-9aea-00d84c50746f.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_2394cfd9-ea6a-47cc-9aea-00d84c50746f.json,NF,N/A,N/A
"Meade ""Lux"" Lewis",Honky Tonk Train Blues,NF,NF,work_3992a27b-77dc-3360-a657-abc055554169.json,recording_4b8f321c-8a2d-43ac-858f-096df5dcfa88.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_4b8f321c-8a2d-43ac-858f-096df5dcfa88.json,NF,jaah_32,Honky Tonk Train Blues
Dizzy Gillespie Sextet,I Can't Get Started,NF,NF,work_fc4b0fb3-8b63-3d8c-a61c-a43e1c427d73.json,recording_24fe0c12-91a4-435b-9282-634526e562c7.json,release_a90eeed6-dc07-4173-938c-49e63142f299.json,artist_24fe0c12-91a4-435b-9282-634526e562c7.json,NF,jaah_37,I Can't Get Started
Tito Puente,Airegin,NF,NF,work_e5413e11-6aec-3b13-8989-8a531202fbd4.json,recording_8454b48d-cd0b-4114-b696-b5429443c597.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_8454b48d-cd0b-4114-b696-b5429443c597.json,NF,N/A,N/A
The Gerry Mulligan Quartet; Chet Baker,Walkin' Shoes,lyrics_Walkin' Shoes_The Gerry Mulligan Quartet; Chet Baker.json,annotation_thegerrymulliganquartet;chetbaker_walkin'shoes.json,work_d0887fa2-320d-44f8-aa9a-d6e07e638b4d.json,recording_d0296909-0459-4596-86fd-9140dc1dac6a.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_d0296909-0459-4596-86fd-9140dc1dac6a.json,NF,jaah_36,Walkin' Shoes
Bessie Smith; Louis Armstrong,St. Louis Blues,lyrics_St. Louis Blues_Bessie Smith; Louis Armstrong.json,annotation_bessiesmith;louisarmstrong_st.louisblues.json,work_a684800a-c0b0-3dda-ab78-d09f79ca7cd3.json,recording_c0574bda-0b9c-4233-a201-f20766434c27.json,release_8f39f187-3e1c-48ce-93bc-7495f42aea74.json,artist_c0574bda-0b9c-4233-a201-f20766434c27.json,shs_2823.json,N/A,N/A
Herbie Hancock,Watermelon Man,NF,NF,work_d3e95fd3-8cbf-3e85-abe2-fe0d9469525c.json,recording_121cde3e-0177-40d3-b502-bf80049bdb0d.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_121cde3e-0177-40d3-b502-bf80049bdb0d.json,shs_2296.json,N/A,N/A
Thelonious Monk Quartet,Misterioso,NF,NF,work_f8e0d620-1b66-31da-ade7-d5e438d24bc1.json,recording_fc696e6a-b402-45f5-89ae-1d7677510155.json,release_2afeb957-bee2-4a92-85ba-943a542437db.json,artist_fc696e6a-b402-45f5-89ae-1d7677510155.json,shs_2288.json,jaah_35,Misterioso
Bunk's Brass Band,In Gloryland,NF,NF,work_3553ba31-2a03-407d-8278-e8ba69b5d3bb.json,recording_043694ff-e370-43f2-a68b-84a476f96194.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_043694ff-e370-43f2-a68b-84a476f96194.json,NF,jaah_34,In Gloryland
The Benny Goodman Trio,Body and Soul,lyrics_Body and Soul_The Benny Goodman Trio.json,annotation_thebennygoodmantrio_bodyandsoul.json,work_98fb7d1f-12f5-3878-9fad-73266fedbec8.json,recording_b7f4e20c-b9f9-45c5-b955-fe2cf18f4345.json,release_60ac576d-cac6-4abf-871a-b3ddb653273c.json,artist_b7f4e20c-b9f9-45c5-b955-fe2cf18f4345.json,NF,jaah_28,Body and Soul
Eddie Lang; Lonnie Johnson,A Handful of Riffs,NF,NF,work_5ea5b4bd-81fe-480f-881e-ecc22bf00c15.json,recording_d8fe08a8-b51e-4588-9547-9731134883f7.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_d8fe08a8-b51e-4588-9547-9731134883f7.json,NF,jaah_27,A Handful of Riffs
Dexter Gordon Quartet,Bikini,NF,NF,work_a030da9f-1ec7-4776-a6cf-b43f978a7e8f.json,recording_b5c9ca7e-ba9f-4ebf-8609-f4dc24339594.json,release_a90eeed6-dc07-4173-938c-49e63142f299.json,artist_b5c9ca7e-ba9f-4ebf-8609-f4dc24339594.json,NF,jaah_24,Bikini
Jelly Roll Morton's Red Hot Peppers,Dead Man Blues,NF,NF,work_7cfc78fc-a6c7-3772-a8d6-09aa2d86da59.json,recording_c38bec92-e409-4bff-b148-75ff64c955ff.json,release_a90eeed6-dc07-4173-938c-49e63142f299.json,artist_c38bec92-e409-4bff-b148-75ff64c955ff.json,NF,jaah_25,Dead Man Blues
Charlie Parker,"Oh, Lady Be Good (feat. Jazz at the Philharmonic)",NF,NF,work_f8987074-fb0d-32e9-b68e-50931959f2bf.json,recording_cb202ce1-d335-428f-942f-0f92ee1a6077.json,release_a90eeed6-dc07-4173-938c-49e63142f299.json,artist_cb202ce1-d335-428f-942f-0f92ee1a6077.json,NF,jaah_26,"Oh, Lady Be Good (feat. Jazz at the Philharmonic)"
Wes Montgomery,West Coast Blues (abridged),NF,NF,work_4de7b604-0906-3686-a9a3-db9d987cf01b.json,recording_02ffe965-bd93-45bd-ae9f-5671261871ae.json,release_a90eeed6-dc07-4173-938c-49e63142f299.json,artist_02ffe965-bd93-45bd-ae9f-5671261871ae.json,NF,jaah_23,West Coast Blues (abridged)
Sarah Vaughan,All Alone,lyrics_All Alone_Sarah Vaughan.json,annotation_sarahvaughan_allalone.json,work_250f292b-dbd2-36b5-91f4-7ae195edc00c.json,recording_6f4aaccf-87df-4265-a3af-9c06742ea102.json,release_a90eeed6-dc07-4173-938c-49e63142f299.json,artist_6f4aaccf-87df-4265-a3af-9c06742ea102.json,NF,jaah_31,All Alone
Jelly Roll Morton's Red Hot Peppers,Black Bottom Stomp,NF,NF,work_12ed6f48-fb2a-32a2-a625-f116d62cb188.json,recording_67a88bd6-864f-4ff7-9579-9d649887deb1.json,release_56257c44-46fe-4ac5-ae17-db668f6f9c10.json,artist_67a88bd6-864f-4ff7-9579-9d649887deb1.json,NF,jaah_30,Black Bottom Stomp
The Benny Goodman Sextet,I Found a New Baby (feat. Charlie Christian & Count Basie),NF,NF,work_88b0de3e-9343-31f5-a3d2-a5f07c2189c8.json,recording_7299b208-023e-44c9-a11d-5237c6cff8fd.json,release_a90eeed6-dc07-4173-938c-49e63142f299.json,artist_7299b208-023e-44c9-a11d-5237c6cff8fd.json,NF,N/A,N/A
Dick Hyman,Maple Leaf Rag,lyrics_Maple Leaf Rag_Dick Hyman.json,annotation_dickhyman_mapleleafrag.json,work_a28705df-3bfa-3888-b3e9-cc707bda74dc.json,recording_1c60e1f6-51ad-4d20-a236-afd5a31629de.json,release_bab63d62-e36e-42bc-9792-8ba4fa0c9af2.json,artist_1c60e1f6-51ad-4d20-a236-afd5a31629de.json,NF,jaah_29,Maple Leaf Rag
The Chocolate Dandies,I Can't Believe That You're in Love With Me,lyrics_I Can't Believe That You're in Love With Me_The Chocolate Dandies.json,annotation_thechocolatedandies_ican'tbelievethatyou'reinlovewithme.json,work_c950d847-df02-4b0c-a512-74fd8e17a015.json,recording_3fbcaf3e-e57b-4e8d-b903-edbd942fb76d.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_3fbcaf3e-e57b-4e8d-b903-edbd942fb76d.json,NF,N/A,N/A
Coleman Hawkins Quartet,The Man I Love,lyrics_The Man I Love_Coleman Hawkins Quartet.json,annotation_colemanhawkinsquartet_themanilove.json,work_5168781f-9979-495a-85ea-f1bf511de240.json,recording_4bca287b-305f-42f8-8a7b-c0bd58e884ce.json,release_a90eeed6-dc07-4173-938c-49e63142f299.json,artist_4bca287b-305f-42f8-8a7b-c0bd58e884ce.json,NF,jaah_45,The Man I Love
Coleman Hawkins and His Orchestra,Body and Soul,lyrics_Body and Soul_Coleman Hawkins and His Orchestra.json,annotation_colemanhawkinsandhisorchestra_bodyandsoul.json,work_98fb7d1f-12f5-3878-9fad-73266fedbec8.json,recording_0a51dede-9539-4c06-bfd3-e1785595a1a2.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_0a51dede-9539-4c06-bfd3-e1785595a1a2.json,NF,jaah_44,Body and Soul
